beer_name,beer_style,brewery,abv,rating,astringent,body,alcoholic,bitter,sweet,sour,salty,fruity,hoppy,spices,malty
Ayinger Celebrator,Bock - Doppelbock,Ayinger Privatbrauerei,6.7%,4.37,23,144,43,70,189,37,2,61,45,27,23
Troegenator,Bock - Doppelbock,Tröegs Brewing Company,8.2%,3.97,21,128,59,51,210,48,0,74,52,18,21
Spaten Optimator,Bock - Doppelbock,Spaten-Franziskaner-Bräu,7.6%,3.92,17,155,51,63,155,37,0,54,54,18,17
Salvator,Bock - Doppelbock,Paulaner Brauerei,7.9%,3.96,21,109,83,41,200,58,0,82,53,25,21
Korbinian,Bock - Doppelbock,Bayerische Staatsbrauerei Weihenstephan,7.4%,4.21,30,155,41,62,188,56,1,84,52,21,30
Samichlaus Classic Bier,Bock - Doppelbock,Brauerei Schloss Eggenberg,14%,4.1,13,112,146,33,243,64,0,92,21,17,13
Samuel Adams Double Bock (Imperial Series),Bock - Doppelbock,Boston Beer Company (Samuel Adams),9.5%,3.96,14,123,86,47,231,39,0,64,51,18,14
Consecrator,Bock - Doppelbock,Bell's Brewery - Eccentric Café & General Store,8%,3.85,40,113,67,64,209,58,0,87,64,18,40
Andechser Doppelbock Dunkel,Bock - Doppelbock,Klosterbrauerei Andechs,7.1%,4.31,31,171,39,54,184,41,0,69,48,19,31
Birra Moretti La Rossa,Bock - Doppelbock,Birra Moretti (Heineken),7.2%,3.66,20,95,45,42,133,30,0,26,40,14,20
Perkulator Coffee Dopplebock,Bock - Doppelbock,Dark Horse Brewing Company,7%,3.75,33,135,46,274,133,41,0,38,46,21,33
EKU 28,Bock - Doppelbock,Kulmbacher Brauerei AG,11%,4,21,120,150,31,193,51,0,75,31,17,21
Maximator,Bock - Doppelbock,Augustiner-Bräu,7.5%,3.95,22,129,45,42,206,60,0,78,49,16,22
S'muttonator (Heritage Series),Bock - Doppelbock,Smuttynose Brewing Company,8.2%,4.05,28,155,104,58,197,47,0,68,71,26,28
