Astringent,Body,Alcoholic,Bitter,Sweet,Sour,Salty,Fruity,Hoppy,Spices,Malty
acetic,acacia,absinthe,ahtanum,acacia,acetic,caviar,berries,ahtanum,absinthe,amaranth
acid,acasia,agave,amarillo,acasia,acid,cracker,berry,amarillo,allspice,azrael
acidic,amaranth,alcohol,anjilanaka,apple,acidic,crackers,blabaer,apollo,anise,barley
acidified,amargor,alcoholic,apollo,apples,acidified,crackery,blackberries,azacca,aniseed,barleymalt
acidifying,big,alcoholized,ashtray,apricot,acidifying,salt,blackberry,bitter,annatto,barleys
acide,bodied,alcohols,askinosie,apricots,acidity,salted,blackcurrant,bittered,bragget,biscotti
acidy,bodiedness,bite,azacca,berries,acids,saltiness,blue,bitterhop,braggot,biscuit
acidity,body,bites,bitter,berry,aciduated,salty,blueberries,bittering,cask,biscuits
acids,butter,booze,bittered,blabaer,acidulated,salts,blueberry,bitterly,casks,biscuity
aciduated,buttery,booziness,bitterhop,blackberries,acrid,saltines,boysenberries,bitterness,cardamom,bisque
acidulated,cappuccino,boozy,bitterer,blackberry,apple,saltyness,boysenberry,bitters,cardamon,bisquit
acrid,cask,bourbon,bittering,blackcurrant,apples,saltine,cassis,bittersweet,cinnamon,bourbon
agave,casks,bourbons,bitterly,blue,bergamot,saltier,cherries,bittnerness,clove,bourbons
alkaline,chewable,brandied,bitterness,blueberries,bacteria,,cherry,chinook,cloves,bread
astringency,chewed,brandy,bitters,blueberry,bacterias,,cranberries,cypress,cumin,breads
astringence,chewiness,daniel,bittersweet,bragget,brabantiae,,cranberry,czech,ginger,bready
astringencies,chewy,daniels,bittnerness,braggot,brettanomyces,,currant,forest,nutmeg,buckwheat
stringent,chocoalte,ester,brulee,brownie,bruxellensis,,currants,forester,pepper,cereal
astrigent,chocolate,esters,bruleed,brownies,cassis,,date,forests,peppercorn,cereals
astringently,chocolately,estery,burn,cake,cider,,dates,fuggle,peppercorns,cookie
astringent,chocolates,ethanol,burned,cakes,citra,,elderberries,fuggles,peppered,cookies
citra,chocolatey,ferment,burning,candi,citric,,elderberry,golding,peppery,cracker
cleaning,chocolatiers,fermentation,burnished,candied,citron,,fig,goldings,spice,crackers
crispiness,chocolaty,fermentations,burns,candies,citrus,,figgy,hallaertau,spiced,crackery
crispier,cocoa,fermented,burnt,candy,citrusy,,figs,hallartau,spices,doughnut
crisped,cream,ferments,cacao,cane,clementine,,fruit,hallertau,spiciness,doughnuts
