beer_id,beer_name,beer_style,style_key,brewery,description,abv,ave_rating,Min_IBU,Max_IBU,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty
6000,1554,Lager - European Dark,,New Belgium Brewing Company,,6,3.84,,,8,47,1,16,30,5,0,1,17,4,8
6001,#9,Fruit and Field Beer,,Magic Hat Brewing Company,,5.1,3.42,,,11,11,1,24,47,29,0,43,37,2,11
6002,§ucaba,Barleywine - English,,Firestone Walker Brewing Co.,,12.5,4.55,,,3,22,30,12,43,4,0,11,9,4,3
6003,120 Minute IPA,IPA - Imperial,,Dogfish Head Craft Brewery,,18,4.18,,,3,22,23,24,40,13,1,18,29,2,3
6004,2XIPA,IPA - Imperial,,Southern Tier Brewing Company,,8.2,4.04,,,8,16,9,39,22,27,0,26,56,1,8
6005,312 Urban Wheat,Wheat Beer - American Pale,,Goose Island Beer Co.,,4.2,3.4,,,3,15,5,11,9,17,0,16,10,4,3
6006,420 Extra Pale Ale,Pale Ale - American,,SweetWater Brewing Company,,5.4,3.66,,,10,16,4,33,25,24,3,44,41,3,10
6007,60 Minute IPA,IPA - American,,Dogfish Head Craft Brewery,,6,4.1,,,5,14,7,26,20,21,0,23,38,2,5
6008,75 Minute IPA,IPA - American,,Dogfish Head Craft Brewery,,7.5,4.13,,,4,34,7,37,63,18,2,22,51,2,4
6009,90 Minute IPA,IPA - Imperial,,Dogfish Head Craft Brewery,,9,4.3,,,6,5,15,51,28,16,0,19,60,0,6
6010,A Little Sumpin' Sumpin' Ale,IPA - American,,Lagunitas Brewing Company,,7.5,4.22,,,12,20,9,37,31,27,0,29,46,4,12
6011,Abbey Ale,Dubbel,,Brewery Ommegang,,8.2,4.19,,,3,20,17,5,38,17,0,23,9,16,3
6012,Abrasive Ale,IPA - Imperial,,Surly Brewing Company,,9.2,4.52,,,13,36,11,51,35,46,0,66,63,0,13
6013,Abt 12,Quadrupel (Quad),,Brouwerij St. Bernardus NV,,10,4.5,,,7,21,15,16,48,18,0,29,16,6,7
6014,All Day IPA,IPA - American,,Founders Brewing Company,,4.7,3.89,,,12,6,4,29,9,14,1,19,36,0,12
6015,Alpha King,Pale Ale - American,,3 Floyds Brewing Co.,,6.66,4.26,,,7,19,1,29,9,28,0,37,50,4,7
6016,Anchor Porter,Porter - American,,Anchor Brewing Company,,5.6,4.12,,,15,49,8,54,36,9,0,9,46,5,15
6017,Anchor Steam Beer,California Common / Steam Beer,,Anchor Brewing Company,,4.9,3.87,,,12,14,10,22,32,23,0,22,38,0,12
6018,ApriHop,IPA - American,,Dogfish Head Craft Brewery,,7,3.87,,,12,14,9,35,57,43,1,59,39,3,12
6019,Arctic Panzer Wolf,IPA - Imperial,,3 Floyds Brewing Co.,,9,4.27,,,17,29,14,74,44,43,1,66,100,4,17
6020,Arrogant Bastard Ale,Strong Ale - American,,Arrogant Consortia,,7.2,4.18,,,7,19,25,64,20,12,0,11,65,9,7
6021,Ayinger Celebrator,Bock - Doppelbock,,Ayinger Privatbrauerei,,6.7,4.37,,,7,24,0,31,34,11,1,14,26,1,7
6022,Backwoods Bastard,Scotch Ale / Wee Heavy,,Founders Brewing Company,,11.2,4.38,,,1,21,43,10,45,8,0,16,9,6,1
6023,Big Bad Baptist,Stout - American Imperial,,Epic Brewing Company,,11.8,4.38,,,5,40,29,45,19,7,0,1,7,8,5
6024,Big Eye,IPA - American,,Ballast Point Brewing Company,,7,4.07,,,17,25,6,44,30,33,0,42,65,3,17
6025,Bigfoot,Barleywine - American,,Sierra Nevada Brewing Co.,,9.6,4.17,,,18,44,27,79,44,15,0,19,98,5,18
6026,Black Butte Porter,Porter - American,,Deschutes Brewery,,5.2,4.19,,,8,55,1,39,43,5,0,6,23,5,8
6027,Black Chocolate Stout,Stout - Russian Imperial,,Brooklyn Brewery,,10,4.17,,,7,66,16,29,50,4,0,7,20,7,7
6028,Black Note Stout,Stout - American Imperial,,Bell's Brewery - Eccentric Café & General Store,,11.2,4.57,,,10,56,36,22,33,9,0,14,11,5,10
6029,Black Tuesday,Stout - American Imperial,,The Bruery,,19.5,4.59,,,2,39,62,14,43,5,0,9,2,6,2
6030,Blackout Stout,Stout - Russian Imperial,,Great Lakes Brewing Co.,,9.9,4.2,,,5,44,16,32,29,7,0,5,18,0,5
6031,Bleue (Blue),Strong Ale - Belgian Dark,,Bières de Chimay,,9,4.33,,,10,14,7,7,33,14,0,20,7,14,10
6032,Blind Pig,IPA - American,,Russian River Brewing Company,,6.25,4.37,,,17,11,6,33,18,27,1,33,48,1,17
6033,Blue Moon Belgian White,Wheat Beer - Witbier,,Blue Moon Brewing Company,,5.4,3.44,,,5,11,5,13,15,43,0,44,11,7,5
6034,Bomb!,Stout - American Imperial,,Prairie Artisan Ales,,13,4.52,,,1,62,18,51,47,1,0,5,11,66,1
6035,Bourbon County Brand Stout,Stout - American Imperial,,Goose Island Beer Co.,,14.7,4.66,,,0,17,30,2,18,2,0,1,0,15,0
6036,Breakfast Stout,Stout - Oatmeal,,Founders Brewing Company,,8.3,4.55,,,0,47,15,43,34,0,0,2,12,3,0
6037,Brown Shugga',Strong Ale - American,,Lagunitas Brewing Company,,10,4.07,,,3,20,25,30,63,13,0,17,36,1,3
6038,Bud Light,Lager - Light,,Anheuser-Busch,,4.2,1.79,,,7,5,0,2,5,1,0,2,5,0,7
6039,Budweiser,Lager - Adjunct,,Anheuser-Busch,,5,2.34,,,2,8,3,5,9,2,0,3,6,0,2
6040,Burton Baton,IPA - Imperial,,Dogfish Head Craft Brewery,,10,4.25,,,4,29,17,30,30,25,1,30,43,12,4
6041,Cappuccino Stout,Stout - American Imperial,,Lagunitas Brewing Company,,9.2,3.97,,,3,46,14,46,24,2,1,3,14,1,3
6042,CBS (Canadian Breakfast Stout),Stout - American Imperial,,Founders Brewing Company,,11.3,4.7,,,1,37,19,14,48,2,0,0,6,3,1
6043,Celebration Fresh Hop IPA,IPA - American,,Sierra Nevada Brewing Co.,,6.8,4.17,,,18,30,11,71,50,47,0,51,104,17,18
6044,Centennial IPA,IPA - American,,Founders Brewing Company,,7.2,4.14,,,12,21,12,59,49,26,0,38,78,1,12
6045,Chocolate Stout,Stout - American,,Rogue Ales,,5.8,4.19,,,5,85,7,63,57,3,0,3,40,3,5
6046,Choklat (Blackwater Series),Stout - American Imperial,,Southern Tier Brewing Company,,10,4.29,,,3,103,12,23,74,1,0,3,14,5,3
6047,Consecration,Wild Ale,,Russian River Brewing Company,,10,4.53,,,17,16,11,3,26,67,0,39,5,7,17
6048,Coors Light,Lager - Light,,Coors Brewing Company (Molson-Coors),,4.2,1.99,,,4,5,5,0,7,2,0,5,5,1,4
6049,Corona Extra,Lager - Adjunct,,Grupo Modelo S.A. de C.V.,,4.6,2.33,,,1,4,2,4,6,13,0,12,5,1,1
6050,Crème Brûlée Imperial Milk Stout (Blackwater Series),Stout - Sweet / Milk,,Southern Tier Brewing Company,,10,3.99,,,5,54,19,30,58,4,0,1,18,19,5
6051,Curieux,Tripel,,Allagash Brewing Company,,10.2,4.31,,,10,27,36,7,29,21,0,23,12,14,10
6052,Curmudgeon,Old Ale,,Founders Brewing Company,,9.8,4.05,,,8,26,25,27,44,13,0,19,22,7,8
6053,Daisy Cutter,Pale Ale - American,,Half Acre Beer Company,,5.2,4.17,,,21,29,5,45,21,38,2,47,65,3,21
6054,Dale's Pale Ale,Pale Ale - American,,Oskar Blues Grill & Brew,,6.5,3.9,,,6,18,6,27,16,9,0,9,41,2,6
6055,Damnation,Strong Ale - Belgian Pale,,Russian River Brewing Company,,7.5,4.13,,,9,23,13,12,23,26,1,33,21,20,9
6056,Dark Lord Imperial Stout,Stout - Russian Imperial,,3 Floyds Brewing Co.,,15,4.36,,,0,43,14,37,49,2,0,9,13,6,0
6057,Darkness,Stout - Russian Imperial,,Surly Brewing Company,,12,4.51,,,4,52,14,23,36,6,0,13,11,5,4
6058,Dead Guy Ale,Bock - Maibock,,Rogue Ales,,6.8,3.97,,,2,13,15,15,32,23,0,24,26,1,2
