Style,Substyle
Bocks,Bock - Doppelbock
Bocks,Bock - Eisbock
Bocks,Bock - Maibock
Bocks,Bock - Traditional
Bocks,Bock - Weizenbock
Brown Ales,Altbier
Brown Ales,Brown Ale - American
Brown Ales,Brown Ale - Belgian Dark
Brown Ales,Brown Ale - English
Brown Ales,Mild Ale - English Dark
Dark Ales,Dubbel
Dark Ales,Rye Beer - Roggenbier
Dark Ales,Scottish Ale
Dark Ales,Winter Warmer
Dark Lagers,Lager - American Amber / Red
Dark Lagers,Lager - European Dark
Dark Lagers,Lager - Märzen
Dark Lagers,Lager - Munich Dunkel
Dark Lagers,Lager - Rauchbier
Dark Lagers,Lager - Schwarzbier
Dark Lagers,Lager - Vienna
Hybrid Beers,Bière de Champagne / Bière Brut
Hybrid Beers,Braggot
Hybrid Beers,California Common / Steam Beer
Hybrid Beers,Cream Ale
India Pale Ales,IPA - American
India Pale Ales,IPA - Belgian
India Pale Ales,IPA - Black / Cascadian Dark Ale
India Pale Ales,IPA - Brut
India Pale Ales,IPA - English
India Pale Ales,IPA - Imperial
India Pale Ales,IPA - New England
Pale Ales,Bitter - English
Pale Ales,Bitter - English Extra Special / Strong Bitter (ESB)
Pale Ales,Blonde Ale - Belgian
Pale Ales,Blonde Ale - American
Pale Ales,Farmhouse Ale - Bière de Garde
Pale Ales,Farmhouse Ale - Saison
Pale Ales,Kölsch
Pale Ales,Mild Ale - English Pale
Pale Ales,Pale Ale - American
Pale Ales,Pale Ale - Belgian
Pale Ales,Pale Ale - English
Pale Ales,Red Ale - American Amber / Red
Pale Ales,Red Ale - Irish
Pale Lagers,Lager - Adjunct
Pale Lagers,Lager - American
Pale Lagers,Lager - European / Dortmunder Export
Pale Lagers,Lager - European Pale
Pale Lagers,Lager - European Strong
Pale Lagers,Lager - Festbier / Wiesnbier
Pale Lagers,Lager - Helles
Pale Lagers,Lager - India Pale Lager (IPL)
Pale Lagers,Lager - Kellerbier / Zwickelbier
Pale Lagers,Lager - Light
Pale Lagers,Lager - Malt Liquor
Pale Lagers,Pilsner - Bohemian / Czech
Pale Lagers,Pilsner - German
Pale Lagers,Pilsner - Imperial
Porters,Porter - American
Porters,Porter - Baltic
Porters,Porter - English
Porters,Porter - Imperial
Porters,Porter - Robust
Porters,Porter - Smoked
Specialty Beers,Chile Beer
Specialty Beers,Farmhouse Ale - Sahti
Specialty Beers,Fruit and Field Beer
Specialty Beers,Gruit / Ancient Herbed Ale
Specialty Beers,Happoshu
Specialty Beers,Herb and Spice Beer
Specialty Beers,Kvass
Specialty Beers,Lager - Japanese Rice
Specialty Beers,Low Alcohol Beer
Specialty Beers,Pumpkin Beer
Specialty Beers,Rye Beer
Specialty Beers,Smoked Beer
Stouts,Stout - American
Stouts,Stout - American Imperial
Stouts,Stout - English
Stouts,Stout - Foreign / Export
Stouts,Stout - Irish Dry
Stouts,Stout - Oatmeal
Stouts,Stout - Russian Imperial
Stouts,Stout - Sweet / Milk
Strong Ales,Barleywine - American
Strong Ales,Barleywine - English
Strong Ales,Old Ale
Strong Ales,Quadrupel (Quad)
Strong Ales,Red Ale - Imperial
Strong Ales,Scotch Ale / Wee Heavy
Strong Ales,Strong Ale - American
Strong Ales,Strong Ale - Belgian Dark
Strong Ales,Strong Ale - Belgian Pale
Strong Ales,Strong Ale - English
Strong Ales,Tripel
Strong Ales,Wheat Beer - Wheatwine
Wheat Beers,Wheat Beer - American Dark
Wheat Beers,Wheat Beer - American Pale
Wheat Beers,Wheat Beer - Dunkelweizen
Wheat Beers,Wheat Beer - Hefeweizen
Wheat Beers,Wheat Beer - Kristallweizen
Wheat Beers,Wheat Beer - Witbier
Wild/Sour Beers,Brett Beer
Wild/Sour Beers,Lambic - Faro
Wild/Sour Beers,Lambic - Fruit
Wild/Sour Beers,Lambic - Gueuze
Wild/Sour Beers,Lambic - Traditional
Wild/Sour Beers,Sour - Berliner Weisse
Wild/Sour Beers,Sour - Flanders Oud Bruin
Wild/Sour Beers,Sour - Flanders Red Ale
Wild/Sour Beers,Sour - Fruited Kettle Sour
Wild/Sour Beers,Sour - Gose
Wild/Sour Beers,Wild Ale
