main_class,subclass,total,beer_count
Class: 0,Subclass: 0,Total,72
Class: 0,Subclass: 1,Total,152
Class: 0,Subclass: 2,Total,122
Class: 0,Subclass: 3,Total,153
Class: 0,Subclass: 4,Total,258
Class: 0,Subclass: 5,Total,79
Class: 0,Subclass: 6,Total,2
Class: 1,Subclass: 0,Total,231
Class: 1,Subclass: 1,Total,255
Class: 1,Subclass: 2,Total,219
Class: 1,Subclass: 3,Total,217
Class: 1,Subclass: 4,Total,189
Class: 1,Subclass: 5,Total,449
Class: 1,Subclass: 6,Total,13
Class: 1,Subclass: 7,Total,79
Class: 2,Subclass: 0,Total,627
Class: 2,Subclass: 1,Total,318
