Beer Style,Beer Substyle,Beer Name,Brewery,,,,,,,
Bock,Bock - Doppelbock,Troegenator,Tröegs Brewing Company,,,,,,,
Bock,Bock - Doppelbock,Spaten Optimator,Spaten-Franziskaner-Bräu,,,,,,,
Bock,Bock - Doppelbock,Salvator,Paulaner Brauerei,,,,,,,
Bock,Bock - Doppelbock,Korbinian,Bayerische Staatsbrauerei Weihenstephan,,,,,,,
Bock,Bock - Doppelbock,Samuel Adams Double Bock (Imperial Series),Boston Beer Company (Samuel Adams),,,,,,,
Bock,Bock - Doppelbock,Consecrator,Bell's Brewery - Eccentric Café & General Store,,,,,,,
Bock,Bock - Doppelbock,EKU 28,Kulmbacher Brauerei AG,,,,,,,
Bock,Bock - Doppelbock,Maximator,Augustiner-Bräu,,,,,,,
Bock,Bock - Doppelbock,S'muttonator (Heritage Series),Smuttynose Brewing Company,,,,,,,
Bock,Bock - Doppelbock,Butthead Doppelbock,Tommyknocker Brewery,,,,,,,
Bock,Bock - Doppelbock,Autumnal Fire,Capital Brewery,,,,,,,
Bock,Bock - Doppelbock,Wasatch The Devastator Double Bock,Utah Brewers Cooperative,,,,,,,
Bock,Bock - Doppelbock,St. Victorious,Victory Brewing Company - Downingtown,,,,,,,
Bock,Bock - Doppelbock,Urbock 23°,Brauerei Schloss Eggenberg,,,,,,,
Bock,Bock - Doppelbock,Voodoovator,Atwater Brewery,,,,,,,
Bock,Bock - Doppelbock,Doppel-Hirsch,Der HirschBrau/Privatbrauerei Höss,,,,,,,
Bock,Bock - Doppelbock,Josephs Brau Winter Brew,Trader Joe's Brewing Company,,,,,,,
Bock,Bock - Doppelbock,Duck-Rabbator,The Duck-Rabbit Craft Brewery,,,,,,,
Bock,Bock - Doppelbock,Troegenator - Bourbon Barrel-Aged,Tröegs Brewing Company,,,,,,,
Bock,Bock - Doppelbock,Ettaler Curator Dunkler Doppelbock (US Import Version),Klosterbrauerei Ettal,,,,,,,
Bock,Bock - Doppelbock,Blonde Doppelbock,Capital Brewery,,,,,,,
Bock,Bock - Doppelbock,Doppelbock Dunkel,Brauerei Schloss Eggenberg,,,,,,,
Bock,Bock - Doppelbock,Tucher Bajuvator Doppelbock,Brauerei Tucher Brau,,,,,,,
Bock,Bock - Doppelbock,Dark Heathen Triple Bock,Kuhnhenn Brewing Company,,,,,,,
Bock,Bock - Doppelbock,Winter Bock,Gordon Biersch Brewery Restaurant,,,,,,,
Bock,Bock - Doppelbock,Brewmaster's Premium Reserve Dopple Bock,Sprecher Brewing Company,,,,,,,
Bock,Bock - Doppelbock,Doppelbock Grande Cuvée Printemps,Les Trois Mousquetaires,,,,,,,
Bock,Bock - Doppelbock,Lobotomy Bock,Indian Wells Brewing Company,,,,,,,
Bock,Bock - Doppelbock,Sled Dog Dopplebock,Wagner Valley Brewing Co.,,,,,,,
Bock,Bock - Doppelbock,Primátor Double Bock Beer,Pivovar Náchod a.s.,,,,,,,
Bock,Bock - Doppelbock,St. Nikolaus Bock Bier - Brewer's Reserve,Pennsylvania Brewing Company,,,,,,,
Bock,Bock - Doppelbock,Winter-Bock,Einbecker Brauhaus,,,,,,,
Bock,Bock - Doppelbock,Granitbock,Brauerei Hofstetten Krammer GmbH & Co. KG,,,,,,,
Bock,Bock - Doppelbock,Oaked Butt Head Bock,Tommyknocker Brewery,,,,,,,
Bock,Bock - Eisbock,Aventinus Eisbock,Schneider Weisse G. Schneider & Sohn,,,,,,,
Bock,Bock - Eisbock,Eisbock,Kulmbacher Brauerei AG,,,,,,,
Bock,Bock - Eisbock,Winter Wonder Lager,Kuhnhenn Brewing Company,,,,,,,
Bock,Bock - Maibock,Andygator,Abita Brewing Co.,,,,,,,
Bock,Bock - Traditional,Samuel Adams Cherry Chocolate Bock,Boston Beer Company (Samuel Adams),,,,,,,
Bock,Bock - Traditional,Samuel Adams The Vixen,Boston Beer Company (Samuel Adams),,,,,,,
Bock,Bock - Weizenbock,Tap 6: Mein Aventinus,Schneider Weisse G. Schneider & Sohn,,,,,,,
Bock,Bock - Weizenbock,Vitus,Bayerische Staatsbrauerei Weihenstephan,,,,,,,
Bock,Bock - Weizenbock,Moonglow Weizenbock,Victory Brewing Company - Downingtown,,,,,,,
Bock,Bock - Weizenbock,Ayinger Weizenbock,Ayinger Privatbrauerei,,,,,,,
Bock,Bock - Weizenbock,Bavarian-Styled Doppel Weizen,Lagunitas Brewing Company,,,,,,,
Bock,Bock - Weizenbock,Erdinger Weissbier Pikantus,Erdinger Weissbräu,,,,,,,
Bock,Bock - Weizenbock,Ramstein Winter Wheat,High Point Brewing Company,,,,,,,
Bock,Bock - Weizenbock,Glockenspiel,Great Lakes Brewing Co.,,,,,,,
Bock,Bock - Weizenbock,Dunkler Weizenbock,Brauerei Michael Plank,,,,,,,
Bock,Bock - Weizenbock,Der Weisse Bock,Mahr's Bräu,,,,,,,
Bock,Bock - Weizenbock,Heller Weizenbock,Brauerei Michael Plank,,,,,,,
Bock,Bock - Weizenbock,Eisenbahn Vigorosa (Weizenbock),Cervejaria Sudbrack Ltda,,,,,,,
Brown Ales,Altbier,Doppelsticke,Uerige Obergärige Hausbrauerei,,,,,,,
Brown Ales,Altbier,Ten Years Alt,Victory Brewing Company - Downingtown,,,,,,,
Brown Ales,Brown Ale - American,Palo Santo Marron,Dogfish Head Craft Brewery,,,,,,,
Brown Ales,Brown Ale - American,Sumatra Mountain Brown,Founders Brewing Company,,,,,,,
Brown Ales,Brown Ale - American,Frangelic Mountain Brown,Founders Brewing Company,,,,,,,
Brown Ales,Brown Ale - American,Rocky's Revenge Bourbon Brown,Tyranena Brewing Company,,,,,,,
Brown Ales,Brown Ale - American,Underground Mountain Brown,Founders Brewing Company,,,,,,,
Brown Ales,Brown Ale - American,Imperial Nut Brown Ale,Tommyknocker Brewery,,,,,,,
Brown Ales,Brown Ale - American,Okie,Prairie Artisan Ales,,,,,,,
Brown Ales,Brown Ale - American,Festivity Ale,Goose Island Beer Co.,,,,,,,
Brown Ales,Brown Ale - American,Coffee Okie,Prairie Artisan Ales,,,,,,,
Brown Ales,Brown Ale - American,Improv (Improvisación) Oatmeal Rye India-Style Brown Ale,Cigar City Brewing,,,,,,,
Brown Ales,Brown Ale - Belgian Dark,Belgian Freeze Belgian Style Winter Ale,River Horse Brewing Co.,,,,,,,
Brown Ales,Brown Ale - Belgian Dark,Werewolf,Rinkuškiai,,,,,,,
Brown Ales,Brown Ale - English,Woodmaster,Short's Brewing Company,,,,,,,
Dark Ales,Dubbel,Maudite,Unibroue,,,,,,,
Dark Ales,Dubbel,Abbey Ale,Brewery Ommegang,,,,,,,
Dark Ales,Dubbel,Westmalle Trappist Dubbel,Brouwerij Westmalle,,,,,,,
Dark Ales,Dubbel,Trappistes Rochefort 6,Brasserie de Rochefort,,,,,,,
Dark Ales,Dubbel,Prior 8,Brouwerij St. Bernardus NV,,,,,,,
Dark Ales,Dubbel,Trappist Westvleteren 8 (VIII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),,,,,,,
Dark Ales,Dubbel,Maredsous 8 - Brune,Brouwerij Duvel Moortgat NV,,,,,,,
Dark Ales,Dubbel,Single Digit Dubbel Belgian-Style Dubbel Ale,Smuttynose Brewing Company,,,,,,,
Dark Ales,Dubbel,La Trappe Dubbel (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V.,,,,,,,
Dark Ales,Dubbel,Trappist Achel 8° Bruin,Brouwerij der St. Benedictusabdij de Achelse,,,,,,,
Dark Ales,Dubbel,Lost & Found,The Lost Abbey,,,,,,,
Dark Ales,Dubbel,Bornem Double,Brouwerij Van Steenberge N.V.,,,,,,,
Dark Ales,Dubbel,Abbey Ale,Abita Brewing Co.,,,,,,,
Dark Ales,Dubbel,Brother David's Belgian-style Double Ale,Anderson Valley Brewing Company,,,,,,,
Dark Ales,Dubbel,Brune,Brasserie de l'Abbaye du Val-Dieu,,,,,,,
Dark Ales,Dubbel,St. Feuillien Brune,Brasserie St. Feuillien,,,,,,,
Dark Ales,Dubbel,Siamese Twin Ale,Uncommon Brewers,,,,,,,
Dark Ales,Dubbel,St. Vincent's Dubbel,Captain Lawrence Brewing Co.,,,,,,,
Dark Ales,Dubbel,St Martin Brune,Brasserie De Brunehaut,,,,,,,
Dark Ales,Winter Warmer,Christmas Ale,Great Lakes Brewing Co.,,,,,,,
Dark Ales,Winter Warmer,Jubelale,Deschutes Brewery,,,,,,,
